id,category,tool_stack,workflow_title,workflow_steps,prompts,output_format,safety_note
WF-125,Study,Zotero-type citation manager + library database,"Rehearse ""calendar colour peace"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: calendar colour peace. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-126,Research,Anki-type spaced repetition decks,"Map ""movement break cue"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: movement break cue. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-127,Writing,Cursor/Copilot-type coding assistant + official docs tab,"Speed-run ""study buddy boundaries"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: study buddy boundaries. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-128,Projects,Canva-type slides + exported PNG charts you label,"Stabilise ""impostor rename practical"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: impostor rename practical. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-129,Coding,Workspace board + messaging app for group sync,"De-risk ""intern contract skim"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: intern contract skim. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-130,Slides,ChatGPT-type assistant + textbook PDF,"Package ""demo day rehearsal"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: demo day rehearsal. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-131,Revision,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Rehearse ""mock viva answers"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: mock viva answers. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-132,Collaboration,NotebookLM-type grounded notebook + syllabus,"Map ""poster layout"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: poster layout. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-133,Study,Notion-type workspace + calendar reminders,"Speed-run ""test case brainstorming"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: test case brainstorming. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-134,Research,Grammarly-type writing assistant,"Stabilise ""focus blocks"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: focus blocks. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-135,Writing,Zotero-type citation manager + library database,"De-risk ""demo rehearsal"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: demo rehearsal. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-136,Projects,Anki-type spaced repetition decks,"Package ""env setup doc"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: env setup doc. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-137,Coding,Cursor/Copilot-type coding assistant + official docs tab,"Rehearse ""acceptance criteria"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: acceptance criteria. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-138,Slides,Canva-type slides + exported PNG charts you label,"Map ""security checklist student"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: security checklist student. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-139,Revision,Workspace board + messaging app for group sync,"Speed-run ""sleep-friendly schedule"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: sleep-friendly schedule. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-140,Collaboration,ChatGPT-type assistant + textbook PDF,"Stabilise ""cold DM kindness"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: cold DM kindness. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-141,Study,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"De-risk ""meta-analysis caution"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: meta-analysis caution. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-142,Research,NotebookLM-type grounded notebook + syllabus,"Package ""appendix planning"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: appendix planning. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-143,Writing,Notion-type workspace + calendar reminders,"Rehearse ""spaced repetition plan"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: spaced repetition plan. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-144,Projects,Grammarly-type writing assistant,"Map ""group charter"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: group charter. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-145,Coding,Zotero-type citation manager + library database,"Speed-run ""graph traversal trace"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: graph traversal trace. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-146,Slides,Anki-type spaced repetition decks,"Stabilise ""feature flag caution"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: feature flag caution. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-147,Revision,Cursor/Copilot-type coding assistant + official docs tab,"De-risk ""API mock plan"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: API mock plan. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-148,Collaboration,Canva-type slides + exported PNG charts you label,"Package ""SQLi awareness"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: SQLi awareness. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-149,Study,Workspace board + messaging app for group sync,"Rehearse ""GIF demo restraint"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: GIF demo restraint. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-150,Research,ChatGPT-type assistant + textbook PDF,"Map ""monolith pragmatic"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: monolith pragmatic. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
